TR:HepG2:CellType,TR:NO-CYTO:Cue,TR:TNFa:Cue,TR:IL1a:Cue,TR:IGF1:Cue,TR:TGFa:Cue,TR:NO-INHIB:Drugs,TR:MEK12i:Drugs,TR:p38i:Drugs,TR:PI3Ki:Drugs,TR:IKKi:Drugs,DA:AKT,DA:ERK12,DA:Ikb,DA:JNK12,DA:p38,DA:HSP27,DA:MEK12,DV:AKT,DV:ERK12,DV:Ikb,DV:JNK12,DV:p38,DV:HSP27,DV:MEK12
1,1,,,,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8934.000000,477.000000,480.000000,67.000000,37.000000,391.000000,5369.000000
1,1,,,,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,11592.000000,234.000000,507.000000,92.000000,38.000000,501.000000,5117.000000
1,1,,,,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,6277.000000,719.000000,453.000000,42.000000,36.000000,281.000000,5620.000000
1,,1,,,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8934.000000,477.000000,480.000000,67.000000,37.000000,391.000000,5369.000000
1,,1,,,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,14488.000000,229.000000,5642.000000,158.000000,134.000000,467.000000,5581.000000
1,,1,,,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8541.000000,943.000000,4044.000000,96.000000,155.000000,410.000000,5702.000000
1,,,1,,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8934.000000,477.000000,480.000000,67.000000,37.000000,391.000000,5369.000000
1,,,1,,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,9014.000000,453.000000,19518.000000,2858.000000,1660.000000,11702.000000,9952.000000
1,,,1,,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8569.000000,1024.000000,5418.000000,171.000000,640.000000,504.000000,5865.000000
1,,,,1,,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8934.000000,477.000000,480.000000,67.000000,37.000000,391.000000,5369.000000
1,,,,1,,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,24720.000000,206.000000,556.000000,229.000000,77.000000,489.000000,6845.000000
1,,,,1,,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,22369.000000,1447.000000,801.000000,85.000000,140.000000,374.000000,8596.000000
1,,,,,1,1,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8934.000000,477.000000,480.000000,67.000000,37.000000,391.000000,5369.000000
1,,,,,1,1,,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,23692.000000,974.000000,520.000000,146.000000,376.000000,286.000000,23367.000000
1,,,,,1,1,,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8024.000000,2506.000000,2031.000000,198.000000,272.000000,409.000000,17724.000000
1,1,,,,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,11918.000000,244.000000,425.000000,86.000000,18.000000,460.000000,
1,1,,,,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,,12647.000000,103.000000,445.000000,83.000000,15.000000,515.000000,
1,1,,,,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,,11189.000000,384.000000,404.000000,89.000000,22.000000,405.000000,
1,,1,,,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,11918.000000,244.000000,425.000000,86.000000,18.000000,460.000000,
1,,1,,,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,,13603.000000,99.000000,3974.000000,200.000000,36.000000,604.000000,
1,,1,,,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,,10541.000000,337.000000,3211.000000,79.000000,35.000000,425.000000,
1,,,1,,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,11918.000000,244.000000,425.000000,86.000000,18.000000,460.000000,
1,,,1,,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,,13266.000000,106.000000,18519.000000,2559.000000,1207.000000,9878.000000,
1,,,1,,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,,9402.000000,201.000000,4963.000000,127.000000,241.000000,527.000000,
1,,,,1,,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,11918.000000,244.000000,425.000000,86.000000,18.000000,460.000000,
1,,,,1,,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,,24202.000000,120.000000,486.000000,126.000000,38.000000,620.000000,
1,,,,1,,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,,23093.000000,356.000000,530.000000,105.000000,22.000000,388.000000,
1,,,,,1,,1,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,11918.000000,244.000000,425.000000,86.000000,18.000000,460.000000,
1,,,,,1,,1,,,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,,24905.000000,128.000000,933.000000,340.000000,169.000000,526.000000,
1,,,,,1,,1,,,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,,16614.000000,519.000000,1178.000000,152.000000,115.000000,448.000000,
1,1,,,,,,,1,,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,11324.000000,418.000000,498.000000,91.000000,,420.000000,5352.000000
1,1,,,,,,,1,,,30.000000,30.000000,30.000000,30.000000,,30.000000,30.000000,14109.000000,176.000000,508.000000,125.000000,,500.000000,4887.000000
1,1,,,,,,,1,,,180.000000,180.000000,180.000000,180.000000,,180.000000,180.000000,8540.000000,660.000000,488.000000,58.000000,,340.000000,5817.000000
1,,1,,,,,,1,,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,11324.000000,418.000000,498.000000,91.000000,,420.000000,5352.000000
1,,1,,,,,,1,,,30.000000,30.000000,30.000000,30.000000,,30.000000,30.000000,15035.000000,270.000000,3894.000000,191.000000,,645.000000,5292.000000
1,,1,,,,,,1,,,180.000000,180.000000,180.000000,180.000000,,180.000000,180.000000,10129.000000,951.000000,4024.000000,94.000000,,438.000000,6006.000000
1,,,1,,,,,1,,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,11324.000000,418.000000,498.000000,91.000000,,420.000000,5352.000000
1,,,1,,,,,1,,,30.000000,30.000000,30.000000,30.000000,,30.000000,30.000000,16157.000000,377.000000,17922.000000,3045.000000,,866.000000,9734.000000
1,,,1,,,,,1,,,180.000000,180.000000,180.000000,180.000000,,180.000000,180.000000,9111.000000,864.000000,6625.000000,259.000000,,539.000000,5021.000000
1,,,,1,,,,1,,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,11324.000000,418.000000,498.000000,91.000000,,420.000000,5352.000000
1,,,,1,,,,1,,,30.000000,30.000000,30.000000,30.000000,,30.000000,30.000000,24247.000000,191.000000,526.000000,117.000000,,475.000000,5268.000000
1,,,,1,,,,1,,,180.000000,180.000000,180.000000,180.000000,,180.000000,180.000000,21715.000000,1240.000000,597.000000,74.000000,,396.000000,8086.000000
1,,,,,1,,,1,,,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,11324.000000,418.000000,498.000000,91.000000,,420.000000,5352.000000
1,,,,,1,,,1,,,30.000000,30.000000,30.000000,30.000000,,30.000000,30.000000,23161.000000,1326.000000,706.000000,185.000000,,546.000000,16460.000000
1,,,,,1,,,1,,,180.000000,180.000000,180.000000,180.000000,,180.000000,180.000000,9588.000000,2560.000000,1827.000000,256.000000,,432.000000,17798.000000
1,1,,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5203.000000,505.000000,487.000000,59.000000,43.000000,350.000000,6449.000000
1,1,,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,5889.000000,204.000000,590.000000,81.000000,38.000000,404.000000,6138.000000
1,1,,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,4518.000000,805.000000,383.000000,38.000000,48.000000,296.000000,6761.000000
1,,1,,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5203.000000,505.000000,487.000000,59.000000,43.000000,350.000000,6449.000000
1,,1,,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,8765.000000,304.000000,4770.000000,206.000000,127.000000,584.000000,7569.000000
1,,1,,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,6073.000000,1150.000000,3682.000000,119.000000,205.000000,485.000000,7351.000000
1,,,1,,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5203.000000,505.000000,487.000000,59.000000,43.000000,350.000000,6449.000000
1,,,1,,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,8232.000000,510.000000,19782.000000,3183.000000,1347.000000,10555.000000,11464.000000
1,,,1,,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,5960.000000,1849.000000,5563.000000,184.000000,769.000000,573.000000,8792.000000
1,,,,1,,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5203.000000,505.000000,487.000000,59.000000,43.000000,350.000000,6449.000000
1,,,,1,,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,13044.000000,381.000000,546.000000,117.000000,29.000000,550.000000,7662.000000
1,,,,1,,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,9063.000000,1410.000000,422.000000,79.000000,75.000000,399.000000,9821.000000
1,,,,,1,,,,1,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5203.000000,505.000000,487.000000,59.000000,43.000000,350.000000,6449.000000
1,,,,,1,,,,1,,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,8147.000000,1390.000000,558.000000,161.000000,157.000000,528.000000,16922.000000
1,,,,,1,,,,1,,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,5660.000000,2719.000000,1660.000000,203.000000,235.000000,473.000000,21362.000000
1,1,,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7798.000000,688.000000,115.000000,51.000000,39.000000,286.000000,5230.000000
1,1,,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,8360.000000,341.000000,153.000000,78.000000,30.000000,333.000000,5292.000000
1,1,,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,7236.000000,1034.000000,76.000000,24.000000,47.000000,240.000000,5168.000000
1,,1,,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7798.000000,688.000000,115.000000,51.000000,39.000000,286.000000,5230.000000
1,,1,,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,10894.000000,443.000000,1943.000000,187.000000,126.000000,445.000000,6969.000000
1,,1,,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,7953.000000,1482.000000,1110.000000,110.000000,169.000000,377.000000,5953.000000
1,,,1,,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7798.000000,688.000000,115.000000,51.000000,39.000000,286.000000,5230.000000
1,,,1,,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,8774.000000,668.000000,1216.000000,2791.000000,1229.000000,7575.000000,11421.000000
1,,,1,,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,7242.000000,2096.000000,1482.000000,235.000000,403.000000,459.000000,11698.000000
1,,,,1,,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7798.000000,688.000000,115.000000,51.000000,39.000000,286.000000,5230.000000
1,,,,1,,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,23939.000000,406.000000,247.000000,123.000000,34.000000,473.000000,6195.000000
1,,,,1,,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,23347.000000,1802.000000,163.000000,69.000000,116.000000,348.000000,7478.000000
1,,,,,1,,,,,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7798.000000,688.000000,115.000000,51.000000,39.000000,286.000000,5230.000000
1,,,,,1,,,,,1,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,16045.000000,1818.000000,167.000000,133.000000,173.000000,394.000000,16032.000000
1,,,,,1,,,,,1,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,8128.000000,4700.000000,243.000000,82.000000,333.000000,354.000000,20827.000000
