#ID	Name
G1	decoy5
G2	SACOL2524
G3	SAV1564
G4	SAV0535
G5	SAV1561
G6	SAV2354
G7	SAV0108
G8	SAV1305
G9	SAV1934
G10	SACOL0074
G11	SAV2520
G12	SAV2042
G13	decoy4
G14	SAV0044
G15	SAV0697
G16	SAV2508
G17	SAV2064
G18	SAV2499
G19	SAV2665
G20	SAV0264
G21	SAV1051
G22	SAV0476
G23	SAV0672
G24	decoy6
G25	decoy2
G26	SAV2297
G27	SAV2332
G28	SAV1402
G29	SAV1255
G30	SAV0616
G31	decoy3
G32	SAV2704
G33	SAV2697
G34	SAV0542
G35	SAV0698
G36	SAV2295
G37	SAV2267
G38	SAV1506
G39	SAV2571
G40	SAV2542
G41	SAV0522
G42	SAV1277
G43	SAV0112
G44	SAV0997
G45	SAV0667
G46	SAV0543
G47	SAV1686
G48	SAV2363
G49	SAV0333
G50	SAV0686
G51	SAV0135
G52	SAV1357
G53	decoy1
G54	SAV0634
G55	SAV2224
G56	SAV2145
G57	SAV1217
G58	SAV1861
G59	SAV0471
G60	SAV0311
G61	SAV1736
G62	decoy9
G63	SAV1520
G64	SAV0668
G65	SAV1508
G66	SAV0518
G67	SAV2357
G68	SAV2593
G69	SAV0244
G70	SAV2201
G71	SAV2578
G72	SAV0533
G73	SAV1554
G74	SAV0767
G75	SAV2265
G76	decoy8
G77	SAV1764
G78	SAV2157
G79	SAV2375
G80	SAV1083
G81	SAV2498
G82	SAV2381
G83	SAV1210
G84	SAV0976
G85	SAV1582
G86	SACOL0072
G87	SAV2312
G88	SAV1610
G89	SAV2631
G90	SAV1498
G91	SAV2046
G92	SAV1309
G93	SAV2507
G94	decoy7
G95	SAV0271
G96	SAV2628
G97	SAV1228
G98	SAV2553
G99	SAV0332
G100	SAV2639
G101	decoy59
G102	SACOL0035
G103	SACOL1574
G104	SAV1021
G105	SAV1847
G106	SAV1039
G107	SAV1557
G108	SAV0843
G109	SAV0768
G110	SAV0713
G111	SAV2041
G112	SAV2193
G113	SA1796
G114	SAV1684
G115	SAV0162
G116	SAV1303
G117	SAV0562
G118	SAV1843
G119	SAV1760
G120	SAV1306
G121	SAV2317
G122	SAV1160
G123	SAV1841
G124	SAV1585
G125	SAV2572
G126	SAV2324
G127	SAV1212
G128	SAV0618
G129	SAV0661
G130	SACOL2677
G131	SAV1415
G132	SAV1479
G133	SACOL1858
G134	SAV2073
G135	SAV0059
G136	SAV2374
G137	SAV2109
G138	SAV0465
G139	SACOL1472
G140	SACOL2305
G141	SAV1114
G142	SAV0483
G143	SAV0846
G144	SAV1236
G145	SAV0219
G146	SAV1442
G147	SAV0960
G148	SAV0181
G149	SACOL2142
G150	SAV0410
G151	SAV2051
G152	SAV0654
G153	SAV1417
G154	SAV0850
G155	SAV1722
G156	SAV1441
G157	SACOL1345
G158	SAV0499
G159	SAV1558
G160	SAV1096
G161	SAV0879
G162	SAV1925
G163	SAV0991
G164	SAV0439
G165	SAV1485
G166	SAV2074
G167	SAV1875
G168	SAV0847
G169	SAV1363
G170	SAV1293
G171	SAV1830
G172	SAV0580
G173	SAV1752
G174	SAV1542
G175	SAV2087
G176	SAV1642
G177	SAV0403
G178	SAV2188
G179	SAV1685
G180	SACOL1576
G181	SAV0699
G182	SAV2278
G183	SAV0424
G184	SAV2068
G185	SAV1075
G186	SAV1817
G187	SAV0373
G188	SAV1735
G189	SAV0165
G190	SAV0092
G191	SAV2176
G192	SAV1862
G193	SAV0792
G194	decoy80
G195	SAV0050
G196	SAV0452
G197	SAV1660
G198	SAV1716
G199	SAV0983
G200	SAV1066
G201	SAV1214
G202	SAV1858
G203	SAV2595
G204	SAV0949
G205	SAV0857
G206	SAV1648
G207	SAV0171
G208	SAV0685
G209	SAV0523
G210	SAV2107
G211	SAV0604
G212	SAV0746
G213	SAV0155
G214	SAV1898
G215	decoy97
G216	SAV0729
G217	SAV1813
G218	SACOL2205
G219	SAV1555
G220	SAV0366
G221	SAV0575
G222	SAV2345
G223	SAV0899
G224	SAV0952
G225	SAV2256
G226	SAV0161
G227	SAV1230
G228	SAV0280
G229	SAV0211
G230	SAV0935
G231	SAV0507
G232	SAV1175
G233	SAV0291
G234	SAV1952
G235	decoy40
G236	SAV1191
G237	SAV2232
G238	SAV2227
G239	SAV1281
G240	SAV1224
G241	SA0193
G242	SAV0673
G243	SACOL0024
G244	SAV0749
G245	SAV2373
G246	SACOL2728
G247	SAV1604
G248	SACOL0362
G249	SAV0126
G250	SAV2242
G251	SAV1899
G252	SAV0957
G253	SAV2336
G254	SAV1800
G255	SAV2451
G256	SAV0922
G257	SACOL2201
G258	SAV1076
G259	SAV2421
G260	SAV0421
G261	SAV0923
G262	SAV0200
G263	SAV1724
G264	SAV2165
G265	SAV0941
G266	SAV0794
G267	SACOL2492
G268	SAV1583
G269	decoy63
G270	SACOL0046
G271	SAV1119
G272	SAV0521
G273	SAV2539
G274	SACOL2025
G275	SAV1009
G276	SAV1527
G277	SAV2668
G278	SAV0466
G279	SAV1611
G280	SAV1387
G281	SAV1986
G282	decoy70
G283	SAV0343
G284	SAV1132
G285	SAV0089
G286	SAV2246
G287	SAV1624
G288	SAV2055
G289	SAV2530
G290	SAV1356
G291	SAV1667
G292	SAV1870
G293	SAV0369
G294	SAV1574
G295	SAV1691
G296	SAV0469
G297	SAV2706
G298	decoy19
G299	SAV0537
G300	SAV0285
G301	SAV1563
G302	SAV2479
G303	SAV0160
G304	SAV0423
G305	SAV2473
G306	SAV2213
G307	SAV2221
G308	SAV1049
G309	SAV2206
G310	SACOL0886
G311	SAV2059
G312	SAV1502
G313	SA1576
G314	SAV0602
G315	SAV0943
G316	SAV0739
G317	SAV1339
G318	SAV1615
G319	SAV0284
G320	SAV1025
G321	SACOL1871
G322	SAV2420
G323	SAV1495
G324	SACOL1043
G325	SAV2075
G326	SAV1634
G327	SAV0966
G328	SAV0720
G329	SACOL0343
G330	SAV2492
G331	SAV0658
G332	SACOL0332
G333	SAV1863
G334	SAV0799
G335	SAV0962
G336	SAV1253
G337	SAV1696
G338	SAV2030
G339	SAV0446
G340	SAV1882
G341	SACOL0049
G342	SAV1712
G343	SAV2388
G344	SAV2028
G345	SAV0854
G346	SAV0368
G347	SAV0456
G348	SACOL1875
G349	SAV0912
G350	SAV0769
G351	SAV0724
G352	SAV1962
G353	SACOL0919
G354	SAV0953
G355	SAV0061
G356	SAV2210
G357	SAV0802
G358	SAV1698
G359	SAV1327
G360	SAV2561
G361	SAV1137
G362	SAV2565
G363	SAV2556
G364	SAV1300
G365	SAV1203
G366	SAV0927
G367	SAV0932
G368	SAV0998
G369	SAV2658
G370	SAV2515
G371	SAV2714
G372	SAV0197
G373	SAV0822
G374	SAV0532
G375	SAV0235
G376	SAV1549
G377	SAV0065
G378	SAV0508
G379	SAV1523
G380	SAV1396
G381	SAV1950
G382	SAV2563
G383	SAV0468
G384	SAV2685
G385	SAV2612
G386	SAV2677
G387	SAV1762
G388	SAV2140
G389	SAV1750
G390	SAV1589
G391	SAV1744
G392	SAV1397
G393	SAV2081
G394	SAV1539
G395	SAV0426
G396	SAV1086
G397	SAV1851
G398	SAV0031
G399	SAV2296
G400	SAV0222
G401	SAV2672
G402	decoy61
G403	SAV2025
G404	SAV1522
G405	SAV2606
G406	SAV2387
G407	SACOL1872
G408	SAV1124
G409	SAV1566
G410	SAV0757
G411	SAV1134
G412	SAV1109
G413	SAV2111
G414	SAV1444
G415	SAV2615
G416	SAV1826
G417	SAV1270
G418	SAV2551
G419	SAV1275
G420	SAV0170
G421	SAV0828
G422	SAV2154
G423	SAV0896
G424	SAV2340
G425	SAV1689
G426	SAV0556
G427	SAV1370
G428	SAV2035
G429	SAV0936
G430	SAV0842
G431	SAV0791
G432	SAV1626
G433	SAV1723
G434	SAV0487
G435	SAV1045
G436	SAV1369
G437	SAV1897
G438	SAV1056
G439	SAV1865
G440	decoy51
G441	SACOL2485
G442	SAV1896
G443	SAV2680
G444	SAV1449
G445	SAV1797
G446	SACOL1586
G447	SAV0320
G448	SAV0841
G449	SAV1085
G450	SAV0350
G451	SAV0795
G452	SAV2307
G453	SAV1061
G454	SAV0970
G455	SAV2613
G456	SAV0903
G457	decoy88
G458	SAV0233
G459	SAV0645
G460	SAV1504
G461	SAV2652
G462	SAV2490
G463	SAV2299
G464	SAV2581
G465	SAV0785
G466	SACOL1851
G467	SACOL1585
G468	SAV2463
G469	decoy69
G470	SAV2290
G471	SAV1097
G472	SAV2625
G473	SAV2449
G474	decoy122
G475	SAV1969
G476	SAV0120
G477	SAV0738
G478	SAV1595
G479	SAV1148
G480	SAV1453
G481	SAV2536
G482	SAV0361
G483	SAV1377
G484	SAV1443
G485	SAV1856
G486	SAV0453
G487	SAV0479
G488	SAV1350
G489	SAV0425
G490	SAV1474
G491	SAV1889
G492	SAV0203
G493	SAV0176
G494	SAV0249
G495	SAV2601
G496	SA1577
G497	SAV0641
G498	SAV0754
G499	SAV2516
G500	SAV1180
G501	SAV0583
G502	SAV2663
G503	SAV1258
G504	SAV1011
G505	SAV1709
G506	SAV0747
G507	SAV2450
G508	SACOL1186
G509	SAV1824
G510	SAV1845
G511	SAV0434
G512	SAV0985
G513	SAV1268
G514	SAV2167
G515	SAV1445
G516	SAV0880
G517	SAV0660
G518	SAV1126
G519	SAV0114
G520	SAV0541
G521	SAV0042
G522	SAV0695
G523	SAV2293
G524	SACOL1999
G525	SACOL0353
G526	SAV1427
G527	SAV0145
G528	SAV0345
G529	SAV2545
G530	SAV0330
G531	SAV1280
G532	SAV2669
G533	decoy30
G534	SAV2225
G535	SAV1105
G536	SAV0357
G537	SACOL0367
G538	SAV1321
G539	SAV0599
G540	SACOL0054
G541	SAV2077
G542	SAV0702
G543	SAV0990
G544	SAV0262
G545	SAV2135
G546	SAV1821
G547	SAV1005
G548	SAV0555
G549	SAV0103
G550	SAV0557
G551	SAV2550
G552	SAV0267
G553	SAV0217
G554	SAV2150
G555	SACOL0319
G556	SAV1138
G557	SAV0844
G558	SAV2052
G559	SAV1796
G560	SAV1346
G561	SAV1178
G562	SAV1020
G563	decoy29
G564	decoy98
G565	SAV1854
G566	SAV2534
G567	SAV1569
G568	decoy77
G569	SAV0593
G570	SAV0006
G571	SAV2159
G572	SAV1727
G573	SAV1368
G574	SAV2549
G575	SAV1043
G576	SAV2282
G577	SAV1248
G578	SAV0318
G579	SAV2417
G580	SAV0304
G581	SAV1282
G582	SAV2491
G583	SAV1959
G584	SAV2671
G585	SAV0189
G586	decoy73
G587	SAV0306
G588	SAV2517
G589	SAV0255
G590	SAV0035
G591	SAV1332
G592	SAV0904
G593	SAV0406
G594	SAV1241
G595	SAV0911
G596	SACOL0042
G597	SAV2527
G598	SAV0621
G599	SAV2274
G600	SAV2696
G601	SAV0001
G602	SAV0073
G603	SAV1855
G604	SAV1512
G605	SAV0029
G606	SAV2152
G607	SAV2212
G608	SAV0663
G609	SAV0477
G610	SAV2682
G611	SAV1202
G612	SAV0552
G613	SAV1884
G614	SAV0185
G615	decoy20
G616	decoy116
G617	SAV1669
G618	SAV1024
G619	decoy47
G620	SAV0502
G621	SAV2522
G622	SAV0567
G623	SAV0435
G624	SAV0598
G625	SAV1031
G626	SACOL1042
G627	SAV1315
G628	SAV1924
G629	SAV1022
G630	SAV0154
G631	SAV0789
G632	SACOL0887
G633	SAV0576
G634	SAV1088
G635	SAV0796
G636	SAV0209
G637	SAV1095
G638	SAV2638
G639	SAV1133
G640	SAV0858
G641	SACOL0857
G642	SAV2099
G643	SAV1783
G644	SAV0511
G645	decoy100
G646	SAV1891
G647	decoy25
G648	SAV0881
G649	SAV0647
G650	SAV2447
G651	SAV0892
G652	SAV1981
G653	SAV1016
G654	SACOL2649
G655	SAV1789
G656	decoy85
G657	decoy31
G658	SAV2344
G659	SAV2306
G660	SAV2291
G661	SAV2650
G662	SAV0671
G663	SAV1678
G664	SAV0296
G665	SAV0648
G666	SAV2558
G667	SAV1003
G668	SAV1333
G669	SACOL0043
G670	SAV0450
G671	SAV1927
G672	SAV1706
G673	SAV0924
G674	SAV1818
G675	SAV0501
G676	SAV0921
G677	SAV1250
G678	SAV1968
G679	SAV0067
G680	SAV1384
G681	SAV2259
G682	SAV1000
G683	SAV1618
G684	SAV0656
G685	SAV2411
G686	SAV1511
G687	SAV0287
G688	SAV0178
G689	SAV0933
G690	SAV0624
G691	SAV1613
G692	SAV2429
G693	SAV0561
G694	SACOL2007
G695	SACOL0383
G696	SAV0638
G697	SAV0182
G698	SAV1677
G699	SAV2382
G700	SAV0095
G701	SAV0674
G702	SAV1208
G703	SAV0407
G704	SAV0125
G705	SAV1973
G706	SAV1836
G707	SACOL2204
G708	SAV0157
G709	SAV0462
G710	SAV0009
G711	SAV2412
G712	SAV1977
G713	SAV0919
G714	SAV1957
G715	SAV2033
G716	SAV0965
G717	SAV0238
G718	SAV1839
G719	SAV0473
G720	SAV0053
G721	SAV0492
G722	SAV2618
G723	SAV1249
G724	SAV0914
G725	SAV0679
G726	decoy41
G727	SAV0569
G728	SAV0975
G729	decoy96
G730	SACOL0368
G731	SAV0967
G732	SAV2660
G733	SAV0579
G734	SAV1123
G735	SAV0677
G736	SAV1193
G737	SAV0316
G738	SAV1758
G739	SAV0715
G740	SAV0817
G741	SAV0417
G742	SAV2457
G743	SAV1391
G744	decoy49
G745	SAV0269
G746	SAV1118
G747	SAV1254
G748	SAV1994
G749	SAV2603
G750	SAV1674
G751	SAV2294
G752	SAV0416
G753	SA1804
G754	SAV0830
G755	SACOL0051
G756	SAV1164
G757	SAV2543
G758	SAV1098
G759	SAV0005
G760	SAV0474
G761	SAV2311
G762	SAV1999
G763	SAV0610
G764	decoy78
G765	SACOL1372
G766	SAV0467
G767	SAV2518
G768	SAV0319
G769	SAV2679
G770	SAV0721
G771	SAV1430
G772	SAV0790
G773	SAV0122
G774	SAV0955
G775	SAV2428
G776	SAV1837
G777	SAV0755
G778	SAV2088
G779	SAV0826
G780	SAV1509
G781	SAV1278
G782	SAV2554
G783	SAV2702
G784	SAV1063
G785	SAV2331
G786	SAV1143
G787	SACOL1873
G788	SAV1719
G789	SAV0744
G790	SAV1197
G791	SAV0980
G792	SAV0765
G793	SACOL2023
G794	SACOL1575
G795	SAV0224
G796	SAV1360
G797	SAV0752
G798	SAV0325
G799	SAV2261
G800	SACOL1983
G801	SAV1936
G802	SAV1297
G803	SAV0710
G804	SAV0810
G805	SAV1331
G806	decoy74
G807	SAV1559
G808	SAV1939
G809	SAV1638
G810	SAV1113
G811	SAV2537
G812	SACOL0908
G813	SAV2419
G814	SACOL1878
G815	SAV0143
G816	SAV1831
G817	SAV0516
G818	SAV1608
G819	SAV0263
G820	SAV1902
G821	SAV0086
G822	SAV2183
G823	SAV0544
G824	SAV2163
G825	SAV0942
G826	SAV0690
G827	SAV0228
G828	SAV0220
G829	SAV1838
G830	SACOL0066
G831	SAV0884
G832	SACOL0907
G833	SAV0801
G834	SAV1274
G835	SAV1700
G836	SACOL0381
G837	SAV0723
G838	SAV0945
G839	SAV0040
G840	SAV1158
G841	SAV1878
G842	SAV0239
G843	SAV2664
G844	SAV2514
G845	SACOL2191
G846	SAV2339
G847	SAV2686
G848	decoy81
G849	SAV0290
G850	SAV2466
G851	SAV2127
G852	SAV1547
G853	SAV0577
G854	SAV0392
G855	SAV2153
G856	SAV2573
G857	SAV1168
G858	SAV2034
G859	SACOL0347
G860	SAV1960
G861	SAV1733
G862	SAV1242
G863	SAV0071
G864	SAV0776
G865	SAV2687
G866	SACOL0890
G867	SAV0246
G868	SAV0442
G869	SAV1213
G870	SAV2559
G871	SAV1628
G872	SAV1842
G873	SAV1221
G874	SAV0659
G875	SAV0431
G876	SAV2440
G877	SAV1185
G878	SAV2272
G879	SAV0565
G880	SAV2071
G881	SAV2385
G882	SA0385
G883	SAV0380
G884	SAV2086
G885	SAV1673
G886	SACOL1865
G887	decoy75
G888	SACOL1577
G889	SACOL0355
G890	SACOL0372
G891	SAV2173
G892	SAV2634
G893	SAV0549
G894	SAV1347
G895	SAV1040
G896	SAV2164
G897	SAV2260
G898	SAV1743
G899	SAV0546
G900	SAV0342
G901	SAV2085
G902	SAV1535
G903	SAV0438
G904	SAV2039
G905	SAV2497
G906	SACOL1890
G907	SAV1298
G908	SAV1401
G909	SAV0402
G910	SAV1033
G911	SAV1215
G912	SAV1488
G913	SAV2347
G914	SAV1751
G915	SAV0818
G916	SAV2097
G917	SAV2266
G918	SAV1183
G919	SAV0174
G920	SAV0026
G921	SAV0133
G922	decoy92
G923	SAV0498
G924	SAV1606
G925	SAV1010
G926	SAV2001
G927	SAV1614
G928	SAV0600
G929	SACOL1874
G930	SAV1335
G931	SAV0158
G932	SAV1942
G933	SAV2350
G934	SAV1176
G935	SACOL0728
G936	SACOL2497
G937	SAV1353
G938	SAV0694
G939	SAV1612
G940	decoy66
G941	SAV2021
G942	SAV2095
G943	SAV2180
G944	SACOL1332
G945	SAV0243
G946	SACOL0322
G947	SAV2486
G948	SAV1428
G949	SAV0888
G950	SAV2168
G951	SAV2304
G952	SAV2314
G953	SACOL0287
G954	SAV2460
G955	SAV2280
G956	SAV0865
G957	SAV1620
G958	SAV0329
G959	SAV0837
G960	SAV1829
G961	SACOL0346
G962	SAV2468
G963	SAV2082
G964	SAV1365
G965	SAV0831
G966	SACOL0846
G967	SAV1019
G968	decoy82
G969	SAV1670
G970	SAV2675
G971	SAV1289
G972	SAV2044
G973	SAV2445
G974	SAV0278
G975	SAV2169
G976	SACOL1910
G977	SAV0636
G978	SACOL0384
G979	SAV1013
G980	SAV1997
G981	SAV1026
G982	SAV1267
G983	decoy32
G984	SAV0413
G985	SACOL1972
G986	SAV0496
G987	SAV2430
G988	SAV2531
G989	SAV1804
