#ID	Name
G1901	SAV2676
G1902	SAV0662
G1903	SAV2196
G1904	decoy131
G1905	SAV0101
G1906	SAV1529
G1907	SAV2427
G1908	SAV1354
G1909	SAV0056
G1910	SAV1553
G1911	SACOL0050
G1912	SAV1273
G1913	SAV1434
G1914	SAV0132
G1915	SAV1834
G1916	SAV1378
G1917	SAV1044
G1918	SAV1573
G1919	SAV1264
G1920	SAV0202
G1921	SAV1055
G1922	SAV0678
G1923	SAV1048
G1924	SAV0069
G1925	SAV1726
G1926	SAV1244
G1927	SAV0581
G1928	SAV0021
G1929	SAV2204
G1930	SA1806
G1931	SAV0504
G1932	SAV0606
G1933	SAV2172
G1934	SAV1825
G1935	SACOL1853
G1936	SAV0083
G1937	SAV0286
G1938	decoy14
G1939	SAV1992
G1940	SAV2698
G1941	SAV1389
G1942	SAV1425
G1943	SAV2178
G1944	SACOL2247
G1945	SAV0062
G1946	SAV0231
G1947	decoy34
G1948	SAV1446
G1949	SAV0412
G1950	SAV1795
G1951	SAV1326
G1952	SAV2424
G1953	SAV1408
G1954	SAV1765
G1955	SAV2673
G1956	SAV2194
G1957	decoy108
G1958	SAV0256
G1959	SAV1073
G1960	SAV0601
G1961	SAV1470
G1962	SAV0726
G1963	SAV0314
G1964	SACOL0354
G1965	SAV1662
G1966	SAV1913
G1967	SAV0358
G1968	SACOL0374
G1969	SAV0551
G1970	SAV1867
G1971	SAV2621
G1972	SAV1537
G1973	SA0062
G1974	SAV2620
G1975	SAV1084
G1976	SAV1219
G1977	SAV1528
G1978	SAV2580
G1979	SACOL1877
G1980	SAV0378
G1981	SAV0978
G1982	SAV0328
G1983	SAV1581
G1984	SAV2171
G1985	SAV1753
G1986	decoy24
G1987	SAV2651
G1988	SACOL0653
G1989	SAV2557
G1990	SAV0146
G1991	SAV1688
G1992	SAV1252
G1993	SAV1876
G1994	decoy57
G1995	SACOL0025
G1996	SAV2397
G1997	SAV2635
G1998	SAV0478
G1999	SAV2438
G2000	SAV2338
G2001	decoy23
G2002	SACOL1046
G2003	SAV1531
G2004	SAV0688
G2005	SAV2144
G2006	SAV1099
G2007	SAV1966
G2008	SAV1478
G2009	SAV2219
G2010	SAV1776
G2011	SAV1199
G2012	SAV1290
G2013	SAV1174
G2014	SACOL1346
G2015	SAV2645
G2016	SACOL1579
G2017	SAV0589
G2018	SAV1591
G2019	SAV1791
G2020	SAV0554
G2021	SAV2112
G2022	SAV1652
G2023	SAV1057
G2024	SACOL1342
G2025	SAV1342
G2026	decoy53
G2027	SAV2481
G2028	SACOL0036
G2029	SAV0139
G2030	SAV0900
G2031	SAV1920
G2032	SAV1541
G2033	SAV2203
G2034	SAV1167
G2035	SAV1568
G2036	decoy46
G2037	SAV0736
G2038	SAV0183
G2039	SACOL1861
G2040	SAV1038
G2041	SAV1177
G2042	SAV1068
G2043	SAV2273
G2044	SAV2126
G2045	SAV1505
G2046	SAV1398
G2047	SACOL1859
G2048	SA1755
G2049	SAV0049
G2050	SAV1895
G2051	SAV0740
G2052	SAV2262
G2053	SAV1625
G2054	SAV1448
G2055	SAV0777
G2056	SAV0652
G2057	SAV0526
G2058	SAV2239
G2059	SAV1770
G2060	SAV0229
G2061	SAV0509
G2062	SAV2372
G2063	SAV1318
G2064	decoy84
G2065	SAV1887
G2066	decoy103
G2067	SAV1663
G2068	SAV2090
G2069	SAV2432
G2070	SAV0180
G2071	SAV2179
G2072	SAV0901
G2073	SAV2313
G2074	SAV1340
G2075	SAV0722
G2076	SAV2589
G2077	SAV0340
G2078	SAV1182
G2079	SACOL0040
G2080	SACOL2141
G2081	SAV0756
G2082	SAV1101
G2083	SAV0585
G2084	SAV2641
G2085	SAV0814
G2086	SAV1917
G2087	SAV2637
G2088	SAV1170
G2089	SAV0725
G2090	SAV2186
G2091	SAV1676
G2092	SAV1494
G2093	SAV1334
G2094	SAV0491
G2095	SAV0866
G2096	SAV2433
G2097	SAV0013
G2098	SAV1169
G2099	SAV1702
G2100	decoy83
G2101	SAV0530
G2102	SAV1139
G2103	SACOL2496
G2104	SAV1616
G2105	SAV0571
G2106	SAV0148
G2107	SAV1059
G2108	SACOL0388
G2109	SAV0666
G2110	SAV1292
G2111	SAV2569
G2112	SAV2471
G2113	SAV0167
G2114	SAV2319
G2115	SAV0787
G2116	SAV1627
G2117	SAV1070
G2118	SAV1532
G2119	SAV1161
G2120	SAV0797
G2121	decoy89
G2122	SAV1822
G2123	SAV0807
G2124	SAV0994
G2125	SACOL1583
G2126	SACOL0333
G2127	SAV0804
G2128	SAV2220
G2129	SAV1102
G2130	SAV2070
G2131	SAV2078
G2132	SAV1127
G2133	SAV1864
G2134	SAV2654
G2135	SAV2480
G2136	SAV2442
G2137	SAV1754
G2138	SAV2353
G2139	SAV2364
G2140	SAV2678
G2141	SAV2211
G2142	SAV1954
G2143	SAV0088
G2144	SAV2303
G2145	SAV0490
G2146	SAV1266
G2147	SAV0457
G2148	SAV1794
G2149	SAV2116
G2150	SAV2464
G2151	SAV1801
G2152	SAV0591
G2153	SAV1257
G2154	SAV0372
G2155	SAV2162
G2156	SAV2342
G2157	decoy42
G2158	SAV1018
G2159	SAV1493
G2160	SAV1256
G2161	SAV0455
G2162	SAV1074
G2163	SAV2584
G2164	SAV1868
G2165	SAV0628
G2166	SAV2101
G2167	SAV2547
G2168	SAV0324
G2169	SAV1091
G2170	SAV2208
G2171	SAV1782
G2172	SAV1767
G2173	SAV1386
G2174	SAV1094
G2175	SAV2588
G2176	SAV2528
G2177	SAV1649
G2178	SACOL1170
G2179	SAV0703
G2180	SAV0010
G2181	SAV1325
G2182	SACOL1870
G2183	SAV1906
G2184	SAV1544
G2185	SAV0379
G2186	SAV0737
G2187	SAV0359
G2188	SAV2656
G2189	SAV0627
G2190	SACOL1532
G2191	SACOL0378
G2192	SACOL1882
G2193	SAV1631
G2194	SAV0948
G2195	SAV0437
G2196	SAV1572
G2197	SAV2582
G2198	SAV1738
G2199	SAV2236
G2200	SAV1931
G2201	SAV2166
G2202	SACOL1529
G2203	SAV0824
G2204	SAV1379
G2205	SAV0151
G2206	SAV0687
G2207	SAV2632
G2208	SAV0245
G2209	SAV0612
G2210	SAV1597
G2211	SAV0057
G2212	SAV1562
G2213	SAV1790
G2214	SAV2058
G2215	SAV1919
G2216	SAV0208
G2217	SAV0225
G2218	SAV2170
G2219	SAV0839
G2220	SAV1570
G2221	SAV2404
G2222	SACOL0382
G2223	SAV0078
G2224	SAV1940
G2225	SAV0913
G2226	SAV1548
G2227	SAV0322
G2228	SAV0364
G2229	SAV0094
G2230	SAV1728
G2231	SAV1823
G2232	SAV1701
G2233	SAV0692
G2234	SACOL0269
G2235	SAV1364
G2236	SAV1414
G2237	SAV1373
G2238	SAV1533
G2239	SAV1259
G2240	SAV1739
G2241	SAV2711
G2242	SAV1135
G2243	SAV1593
G2244	SAV0613
G2245	decoy27
G2246	SAV1463
G2247	SAV2623
G2248	SACOL1580
G2249	SACOL0328
G2250	SAV1322
G2251	SACOL2454
G2252	SAV2643
G2253	SAV2426
G2254	SAV1675
G2255	SAV0448
G2256	SAV2435
G2257	SAV0635
G2258	SAV0608
G2259	SAV0819
G2260	SAV1320
G2261	SAV1111
G2262	SAV0528
G2263	SAV0568
G2264	SA1808
G2265	SAV1338
G2266	SAV0481
G2267	SAV1777
G2268	SAV0510
G2269	SAV2105
G2270	SAV0277
G2271	SAV2627
G2272	SAV1964
G2273	SACOL0181
G2274	SAV2617
G2275	SAV1747
G2276	SAV1983
G2277	SAV0274
G2278	SAV2022
G2279	SAV0947
G2280	SAV1918
G2281	SAV0696
G2282	SAV1030
G2283	SAV2108
G2284	decoy117
G2285	SAV2436
G2286	SAV2249
G2287	SACOL0471
G2288	SAV2065
G2289	SAV1287
G2290	SAV0111
G2291	SAV1784
G2292	SAV1437
G2293	SAV2083
G2294	SAV1489
G2295	SAV2662
G2296	SAV1459
G2297	SAV2346
G2298	SAV1313
G2299	SAV2541
G2300	SAV2629
G2301	decoy56
G2302	SAV1496
G2303	SACOL0654
G2304	SAV1435
G2305	SACOL0365
G2306	SAV0212
G2307	SAV0681
G2308	SAV1915
G2309	SACOL0070
G2310	SAV2309
G2311	SAV0018
G2312	SAV1683
G2313	SAV2407
G2314	SAV0570
G2315	SAV0762
G2316	SAV1499
G2317	decoy50
G2318	SACOL2695
G2319	decoy109
G2320	SAV2622
G2321	SAV1008
G2322	SAV1052
G2323	SAV0002
G2324	SAV2398
G2325	SAV2548
G2326	decoy67
G2327	SAV2633
G2328	SAV0159
G2329	SAV2467
G2330	SAV1029
G2331	SACOL1573
G2332	SAV1732
G2333	SAV2600
G2334	decoy65
G2335	SAV1461
G2336	SACOL1953
G2337	SAV0070
G2338	SAV1540
G2339	SAV2337
G2340	SAV1233
G2341	SAV2216
G2342	SAV1633
G2343	SAV2048
G2344	SACOL1187
G2345	SAV0270
G2346	SAV2271
G2347	SAV1004
G2348	SACOL0371
G2349	SAV1157
G2350	SAV1518
G2351	SAV2585
G2352	SAV2690
G2353	SAV1001
G2354	SAV0650
G2355	decoy76
G2356	SACOL0389
G2357	SAV1129
G2358	SAV0310
G2359	SAV0395
G2360	SAV1545
G2361	SAV0382
G2362	SAV1632
G2363	SAV0800
G2364	SACOL0647
G2365	SAV1163
G2366	SAV0295
G2367	SAV0772
G2368	SAV0485
G2369	SAV0820
G2370	SAV0588
G2371	SAV1661
G2372	SAV2371
G2373	SAV1671
G2374	SAV0046
G2375	SAV2369
G2376	SAV2292
G2377	SACOL0327
G2378	SAV0930
G2379	SAV1576
G2380	SAV1229
G2381	SAV0254
G2382	SAV1711
G2383	SAV1394
G2384	SAV0116
G2385	SAV2243
G2386	SAV1247
G2387	SAV0458
G2388	SAV0905
G2389	SAV2248
G2390	SAV0054
G2391	SAV1859
G2392	SAV1456
G2393	SAV1802
G2394	decoy132
G2395	SAV0609
G2396	SACOL2190
G2397	SAV2279
G2398	SAV2244
G2399	SACOL0183
G2400	SAV0210
G2401	SAV1232
G2402	SAV0257
G2403	SAV1027
G2404	SAV0607
G2405	decoy36
G2406	SAV0859
G2407	SAV0563
G2408	SAV0890
G2409	SAV2275
G2410	SAV2666
G2411	SAV2189
G2412	SAV2110
G2413	SAV0734
G2414	SAV1204
G2415	SAV2587
G2416	SAV1140
G2417	SAV2470
G2418	SAV2524
G2419	SAV0495
G2420	SAV0995
G2421	SAV0045
G2422	SAV0312
G2423	SAV0525
G2424	SAV1944
G2425	SAV1471
G2426	SAV0475
G2427	SAV1946
G2428	SAV1916
G2429	SAV1071
G2430	SAV0265
G2431	SAV0289
G2432	SAV2523
G2433	SAV2624
G2434	SAV1131
G2435	SAV1718
G2436	SAV0420
G2437	SAV1536
G2438	SAV0376
G2439	SAV2106
G2440	SAV2318
G2441	SAV2284
G2442	SAV0999
G2443	decoy124
G2444	SAV1006
G2445	SAV0075
G2446	SAV1866
G2447	SAV1780
G2448	SAV0184
G2449	SAV0655
G2450	SAV1781
G2451	SAV1590
G2452	SAV1772
G2453	SAV2477
G2454	SAV2005
G2455	SACOL0329
G2456	SAV0019
G2457	SAV0428
G2458	SAV2418
G2459	SAV2567
G2460	SAV1534
G2461	SAV1184
G2462	SAV0938
G2463	SAV2504
G2464	SAV0815
G2465	SACOL0350
G2466	SAV1464
G2467	SAV2156
G2468	SACOL0039
G2469	SAV2598
G2470	SAV1833
G2471	SACOL0767
G2472	SAV2393
G2473	SAV2207
G2474	SAV0515
G2475	SAV1602
G2476	SAV0273
G2477	SAV1850
G2478	SAV1497
G2479	SAV0080
G2480	SAV2576
G2481	SAV0812
G2482	SAV0611
G2483	SAV0657
G2484	SAV0351
G2485	SAV2533
G2486	SAV1077
G2487	decoy119
G2488	SAV0352
G2489	decoy125
G2490	SAV1741
G2491	SAV1989
G2492	SAV1042
G2493	SAV2334
G2494	SAV2532
G2495	SACOL0047
G2496	SAV1982
G2497	SAV0130
G2498	SAV0198
G2499	SACOL0073
G2500	SAV1766
G2501	SAV1308
G2502	SAV0014
G2503	SAV0836
G2504	SAV0215
G2505	SAV0615
G2506	SAV0838
G2507	SAV2004
G2508	SAV0886
G2509	SAV0134
G2510	decoy127
G2511	SAV0307
G2512	SAV0968
G2513	SAV0539
G2514	SAV0786
G2515	SAV2604
G2516	SAV0131
G2517	SAV1519
G2518	SAV2091
G2519	SAV0704
G2520	SAV1100
G2521	SAV2092
G2522	SAV1492
G2523	SAV2268
G2524	SAV1550
G2525	SAV2197
G2526	SAV2575
G2527	decoy35
G2528	SAV1015
G2529	decoy79
G2530	SAV2237
G2531	SACOL0044
G2532	SAV0339
G2533	SAV2199
G2534	SAV1117
G2535	SAV1513
G2536	SAV2367
G2537	SAV0540
G2538	SAV0520
G2539	SAV0732
G2540	SAV0017
G2541	SACOL0364
G2542	SAV1418
G2543	SAV0047
G2544	SAV2310
G2545	SACOL0406
G2546	SACOL1528
G2547	SAV2281
G2548	SAV1565
G2549	SAV0084
G2550	SAV2322
G2551	SAV0625
G2552	SAV0147
G2553	SAV2416
G2554	SAV0041
G2555	SAV2023
G2556	SAV2192
G2557	SAV0144
G2558	SAV0716
G2559	SAV0309
G2560	SAV2521
G2561	SACOL0286
G2562	SAV0928
G2563	SAV2506
G2564	SAV1355
G2565	SAV1745
G2566	SAV0370
G2567	SAV1588
G2568	SACOL2559
G2569	SAV1641
G2570	SAV2234
G2571	SAV1189
G2572	SAV1065
G2573	SAV2570
G2574	SACOL0850
G2575	SACOL0174
G2576	SAV0977
G2577	SAV2252
G2578	SAV1774
G2579	SAV1047
G2580	SACOL1556
G2581	SACOL0487
G2582	SAV2147
G2583	decoy110
G2584	SAV2096
G2585	SAV1110
G2586	decoy93
G2587	SACOL1855
G2588	SAV1935
G2589	SAV0753
G2590	SAV0693
G2591	SAV1672
G2592	SAV1697
G2593	SAV1385
G2594	SAV1136
G2595	SAV0683
G2596	SAV1187
G2597	SAV2403
G2598	SAV0123
G2599	SAV2646
G2600	SAV1985
G2601	SAV1041
G2602	SAV2011
G2603	SAV2648
G2604	SACOL1331
G2605	SACOL0321
G2606	SAV0631
G2607	SAV2459
G2608	SAV1956
G2609	SAV1348
G2610	SAV0367
G2611	SAV1951
G2612	SAV1695
G2613	SAV0864
G2614	SAV0313
G2615	SAV2076
G2616	SAV1279
G2617	SAV1560
G2618	SAV0829
G2619	SAV1556
G2620	SAV1069
G2621	SAV2478
G2622	SAV1525
G2623	decoy38
G2624	SACOL0339
G2625	SAV0637
G2626	SAV2396
G2627	SAV1844
G2628	SAV1108
G2629	decoy87
G2630	SAV1089
G2631	SAV1345
G2632	SAV0060
G2633	SAV0989
G2634	SAV1507
G2635	SAV1121
G2636	SAV0996
G2637	SAV0472
G2638	SAV1481
G2639	SAV0538
G2640	SAV0766
G2641	SAV1337
G2642	SAV1295
G2643	SAV2642
G2644	SAV1433
G2645	SAV2609
G2646	SAV1399
G2647	SAV0482
G2648	SAV2143
G2649	SAV1599
G2650	SAV2482
G2651	SAV1827
G2652	SAV1149
G2653	SAV1307
G2654	SACOL0209
G2655	SAV0107
G2656	SAV1054
G2657	SACOL0071
G2658	SAV0833
G2659	SAV0391
G2660	SAV1521
G2661	SAV1729
G2662	SAV0937
G2663	SAV0497
G2664	decoy115
G2665	SAV0775
G2666	SAV0675
G2667	SAV0152
G2668	SAV2053
G2669	SAV0216
G2670	SAV2368
G2671	SAV2006
G2672	SAV1605
G2673	decoy21
G2674	SAV1665
G2675	SAV0012
G2676	SAV2215
G2677	SAV2326
G2678	SAV0920
G2679	SAV0305
G2680	SACOL0087
G2681	SAV2512
G2682	decoy91
G2683	SAV1062
G2684	SAV2200
G2685	SAV0232
G2686	SAV0433
G2687	SAV2362
G2688	SAV1526
G2689	decoy71
G2690	decoy22
G2691	SACOL1857
G2692	SAV1276
G2693	SAV0136
G2694	decoy44
G2695	SAV0374
G2696	SAV0494
G2697	SAV2505
G2698	SACOL0045
G2699	decoy121
G2700	SAV2195
G2701	SAV2029
G2702	SAV2038
G2703	SAV1458
G2704	SAV0230
G2705	SAV1707
G2706	SACOL0478
G2707	SAV0560
G2708	SAV2456
G2709	SAV2564
G2710	SAV2422
G2711	SAV0897
G2712	SAV1142
G2713	SA1799
G2714	SAV1991
G2715	SAV1880
G2716	decoy54
G2717	SAV2405
G2718	SAV2352
G2719	SACOL0385
G2720	SAV0778
G2721	SAV2175
G2722	decoy90
G2723	SAV0944
G2724	SAV0388
G2725	SAV1979
G2726	SAV0784
G2727	SAV0889
G2728	SAV0119
G2729	SAV0868
G2730	SAV1484
G2731	SAV1788
G2732	SA1803
G2733	SACOL2640
G2734	SAV0121
G2735	SAV1933
G2736	SAV1941
G2737	SAV0779
G2738	SAV0028
G2739	SACOL0370
G2740	SAV1926
G2741	SAV1883
G2742	SAV0758
G2743	SAV2710
G2744	SAV2356
G2745	SAV0972
G2746	SAV2513
G2747	SAV1358
G2748	SAV0547
G2749	SACOL0342
G2750	SAV2355
G2751	SAV1381
G2752	SAV2695
G2753	SAV0934
G2754	SAV0344
G2755	SAV1803
G2756	SAV2540
G2757	SAV2616
G2758	SAV0906
G2759	SAV2062
G2760	SAV0187
G2761	SACOL0892
G2762	SAV1600
G2763	SAV0813
G2764	SAV0788
G2765	SAV2287
G2766	SAV0141
G2767	SAV1731
G2768	SACOL2202
G2769	SAV0893
G2770	SAV1546
G2771	SAV1141
G2772	SAV1734
G2773	SAV0550
G2774	SAV0341
G2775	SAV0578
G2776	decoy37
G2777	SACOL0095
G2778	SAV0665
G2779	SAV0409
G2780	SAV2366
G2781	SACOL0643
G2782	SAV1304
G2783	SAV1007
G2784	SAV2351
G2785	SAV2151
G2786	decoy55
G2787	SACOL2002
G2788	SACOL0330
G2789	SAV1976
G2790	SAV0279
G2791	SAV0682
G2792	SAV1640
G2793	SAV1609
G2794	SAV0397
G2795	SAV0068
G2796	SACOL0483
G2797	SACOL0369
G2798	SAV1538
G2799	SAV0709
G2800	SAV2434
G2801	SAV1366
G2802	decoy15
G2803	SAV2413
G2804	SAV1900
G2805	SAV2315
G2806	SAV0486
G2807	SAV0432
G2808	decoy106
G2809	SAV2661
G2810	SAV2358
