Stimuli,Inhibitor,DA:AKT,DA:ERK12,DA:Ikb,DA:JNK12,DA:p38,DA:HSP27,DA:MEK12,DV:AKT,DV:ERK12,DV:Ikb,DV:JNK12,DV:p38,DV:HSP27,DV:MEK12,DatasetID
None,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369,1
None,None,30,30,30,30,30,30,30,11592,234,507,92,38,501,5117,1
None,None,180,180,180,180,180,180,180,6277,719,453,42,36,281,5620,1
TNFa,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369,2
TNFa,None,30,30,30,30,30,30,30,14488,229,5642,158,134,467,5581,2
TNFa,None,180,180,180,180,180,180,180,8541,943,4044,96,155,410,5702,2
IL1a,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369,3
IL1a,None,30,30,30,30,30,30,30,9014,453,19518,2858,1660,11702,9952,3
IL1a,None,180,180,180,180,180,180,180,8569,1024,5418,171,640,504,5865,3
IGF1,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369,4
IGF1,None,30,30,30,30,30,30,30,24720,206,556,229,77,489,6845,4
IGF1,None,180,180,180,180,180,180,180,22369,1447,801,85,140,374,8596,4
TGFa,None,0,0,0,0,0,0,0,8934,477,480,67,37,391,5369,5
TGFa,None,30,30,30,30,30,30,30,23692,974,520,146,376,286,23367,5
TGFa,None,180,180,180,180,180,180,180,8024,2506,2031,198,272,409,17724,5
None,MEKi,0,0,0,0,0,0,-1,11918,244,425,86,18,460,-1,6
None,MEKi,30,30,30,30,30,30,-1,12647,103,445,83,15,515,-1,6
None,MEKi,180,180,180,180,180,180,-1,11189,384,404,89,22,405,-1,6
TNFa,MEKi,0,0,0,0,0,0,-1,11918,244,425,86,18,460,-1,7
TNFa,MEKi,30,30,30,30,30,30,-1,13603,99,3974,200,36,604,-1,7
TNFa,MEKi,180,180,180,180,180,180,-1,10541,337,3211,79,35,425,-1,7
IL1a,MEKi,0,0,0,0,0,0,-1,11918,244,425,86,18,460,-1,8
IL1a,MEKi,30,30,30,30,30,30,-1,13266,106,18519,2559,1207,9878,-1,8
IL1a,MEKi,180,180,180,180,180,180,-1,9402,201,4963,127,241,527,-1,8
IGF1,MEKi,0,0,0,0,0,0,-1,11918,244,425,86,18,460,-1,9
IGF1,MEKi,30,30,30,30,30,30,-1,24202,120,486,126,38,620,-1,9
IGF1,MEKi,180,180,180,180,180,180,-1,23093,356,530,105,22,388,-1,9
TGFa,MEKi,0,0,0,0,0,0,-1,11918,244,425,86,18,460,-1,10
TGFa,MEKi,30,30,30,30,30,30,-1,24905,128,933,340,169,526,-1,10
TGFa,MEKi,180,180,180,180,180,180,-1,16614,519,1178,152,115,448,-1,10
None,p38i,0,0,0,0,-1,0,0,11324,418,498,91,-1,420,5352,11
None,p38i,30,30,30,30,-1,30,30,14109,176,508,125,-1,500,4887,11
None,p38i,180,180,180,180,-1,180,180,8540,660,488,58,-1,340,5817,11
TNFa,p38i,0,0,0,0,-1,0,0,11324,418,498,91,-1,420,5352,12
TNFa,p38i,30,30,30,30,-1,30,30,15035,270,3894,191,-1,645,5292,12
TNFa,p38i,180,180,180,180,-1,180,180,10129,951,4024,94,-1,438,6006,12
IL1a,p38i,0,0,0,0,-1,0,0,11324,418,498,91,-1,420,5352,13
IL1a,p38i,30,30,30,30,-1,30,30,16157,377,17922,3045,-1,866,9734,13
IL1a,p38i,180,180,180,180,-1,180,180,9111,864,6625,259,-1,539,5021,13
IGF1,p38i,0,0,0,0,-1,0,0,11324,418,498,91,-1,420,5352,14
IGF1,p38i,30,30,30,30,-1,30,30,24247,191,526,117,-1,475,5268,14
IGF1,p38i,180,180,180,180,-1,180,180,21715,1240,597,74,-1,396,8086,14
TGFa,p38i,0,0,0,0,-1,0,0,11324,418,498,91,-1,420,5352,15
TGFa,p38i,30,30,30,30,-1,30,30,23161,1326,706,185,-1,546,16460,15
TGFa,p38i,180,180,180,180,-1,180,180,9588,2560,1827,256,-1,432,17798,15
None,PI3Ki,0,0,0,0,0,0,0,5203,505,487,59,43,350,6449,16
None,PI3Ki,30,30,30,30,30,30,30,5889,204,590,81,38,404,6138,16
None,PI3Ki,180,180,180,180,180,180,180,4518,805,383,38,48,296,6761,16
TNFa,PI3Ki,0,0,0,0,0,0,0,5203,505,487,59,43,350,6449,17
TNFa,PI3Ki,30,30,30,30,30,30,30,8765,304,4770,206,127,584,7569,17
TNFa,PI3Ki,180,180,180,180,180,180,180,6073,1150,3682,119,205,485,7351,17
IL1a,PI3Ki,0,0,0,0,0,0,0,5203,505,487,59,43,350,6449,18
IL1a,PI3Ki,30,30,30,30,30,30,30,8232,510,19782,3183,1347,10555,11464,18
IL1a,PI3Ki,180,180,180,180,180,180,180,5960,1849,5563,184,769,573,8792,18
IGF1,PI3Ki,0,0,0,0,0,0,0,5203,505,487,59,43,350,6449,19
IGF1,PI3Ki,30,30,30,30,30,30,30,13044,381,546,117,29,550,7662,19
IGF1,PI3Ki,180,180,180,180,180,180,180,9063,1410,422,79,75,399,9821,19
TGFa,PI3Ki,0,0,0,0,0,0,0,5203,505,487,59,43,350,6449,20
TGFa,PI3Ki,30,30,30,30,30,30,30,8147,1390,558,161,157,528,16922,20
TGFa,PI3Ki,180,180,180,180,180,180,180,5660,2719,1660,203,235,473,21362,20
None,IKKi,0,0,0,0,0,0,0,7798,688,115,51,39,286,5230,21
None,IKKi,30,30,30,30,30,30,30,8360,341,153,78,30,333,5292,21
None,IKKi,180,180,180,180,180,180,180,7236,1034,76,24,47,240,5168,21
TNFa,IKKi,0,0,0,0,0,0,0,7798,688,115,51,39,286,5230,22
TNFa,IKKi,30,30,30,30,30,30,30,10894,443,1943,187,126,445,6969,22
TNFa,IKKi,180,180,180,180,180,180,180,7953,1482,1110,110,169,377,5953,22
IL1a,IKKi,0,0,0,0,0,0,0,7798,688,115,51,39,286,5230,23
IL1a,IKKi,30,30,30,30,30,30,30,8774,668,1216,2791,1229,7575,11421,23
IL1a,IKKi,180,180,180,180,180,180,180,7242,2096,1482,235,403,459,11698,23
IGF1,IKKi,0,0,0,0,0,0,0,7798,688,115,51,39,286,5230,24
IGF1,IKKi,30,30,30,30,30,30,30,23939,406,247,123,34,473,6195,24
IGF1,IKKi,180,180,180,180,180,180,180,23347,1802,163,69,116,348,7478,24
TGFa,IKKi,0,0,0,0,0,0,0,7798,688,115,51,39,286,5230,25
TGFa,IKKi,30,30,30,30,30,30,30,16045,1818,167,133,173,394,16032,25
TGFa,IKKi,180,180,180,180,180,180,180,8128,4700,243,82,333,354,20827,25
